2021-10-24 00:37:12,150 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-24 00:37:12,352 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 52111
2021-10-24 00:37:12,411 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-24 00:37:12,542 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 52111
2021-10-24 00:37:12,881 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-24 00:37:12,881 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-24 00:39:13,822 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-24 00:39:14,048 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 52111
2021-10-24 00:39:14,071 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-24 00:39:14,177 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 52111
2021-10-24 00:39:14,505 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-24 00:39:14,505 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-24 00:40:04,607 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [24/Oct/2021 00:40:04] "GET /log HTTP/1.1" 200 -
2021-10-24 00:40:04,607 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [24/Oct/2021 00:40:04] "GET /log HTTP/1.1" 200 -
2021-10-24 00:40:08,298 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [24/Oct/2021 00:40:08] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-24 00:40:08,298 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [24/Oct/2021 00:40:08] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-24 00:41:00,434 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [24/Oct/2021 00:41:00] "GET /log HTTP/1.1" 200 -
2021-10-24 00:41:00,434 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [24/Oct/2021 00:41:00] "GET /log HTTP/1.1" 200 -
2021-10-24 00:41:03,579 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [24/Oct/2021 00:41:03] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-24 00:41:03,579 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [24/Oct/2021 00:41:03] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-24 00:41:36,607 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-24 00:41:36,788 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 52111
2021-10-24 00:41:36,830 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-24 00:41:36,884 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 52111
2021-10-24 00:41:37,277 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-24 00:41:37,277 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-24 00:42:11,410 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [24/Oct/2021 00:42:11] "GET /log HTTP/1.1" 200 -
2021-10-24 00:42:11,410 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [24/Oct/2021 00:42:11] "GET /log HTTP/1.1" 200 -
2021-10-24 00:42:14,683 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [24/Oct/2021 00:42:14] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-24 00:42:14,683 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [24/Oct/2021 00:42:14] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-26 16:39:46,732 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-26 16:39:47,040 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 61804
2021-10-26 16:39:47,126 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-26 16:39:47,299 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 61804
2021-10-26 16:39:48,723 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-26 16:39:48,723 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-26 16:40:06,172 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [26/Oct/2021 16:40:06] "GET / HTTP/1.1" 200 -
2021-10-26 16:40:06,172 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [26/Oct/2021 16:40:06] "GET / HTTP/1.1" 200 -
2021-10-26 16:40:09,894 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [26/Oct/2021 16:40:09] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-26 16:40:09,894 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [26/Oct/2021 16:40:09] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-26 16:40:13,274 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [26/Oct/2021 16:40:13] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2021-10-26 16:40:13,274 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [26/Oct/2021 16:40:13] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2021-10-26 16:40:49,984 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-26 16:40:50,162 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 61804
2021-10-26 16:40:50,253 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-26 16:40:50,404 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 61804
2021-10-26 16:40:50,891 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-26 16:40:50,891 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-26 16:41:24,245 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [26/Oct/2021 16:41:24] "GET / HTTP/1.1" 200 -
2021-10-26 16:41:24,245 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [26/Oct/2021 16:41:24] "GET / HTTP/1.1" 200 -
2021-10-26 16:41:28,297 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [26/Oct/2021 16:41:28] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-26 16:41:28,297 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [26/Oct/2021 16:41:28] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-26 16:41:32,935 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [26/Oct/2021 16:41:32] "GET /log HTTP/1.1" 200 -
2021-10-26 16:41:32,935 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [26/Oct/2021 16:41:32] "GET /log HTTP/1.1" 200 -
2021-10-26 16:41:36,501 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [26/Oct/2021 16:41:36] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-26 16:41:36,501 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [26/Oct/2021 16:41:36] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-26 16:41:47,865 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [26/Oct/2021 16:41:47] "GET / HTTP/1.1" 200 -
2021-10-26 16:41:47,865 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [26/Oct/2021 16:41:47] "GET / HTTP/1.1" 200 -
2021-10-26 16:41:51,682 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [26/Oct/2021 16:41:51] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-26 16:41:51,682 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [26/Oct/2021 16:41:51] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-26 16:50:19,539 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [26/Oct/2021 16:50:19] "GET /log HTTP/1.1" 200 -
2021-10-26 16:50:19,539 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [26/Oct/2021 16:50:19] "GET /log HTTP/1.1" 200 -
2021-10-26 16:50:24,380 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [26/Oct/2021 16:50:24] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-26 16:50:24,380 , _internal.py , werkzeug , INFO , 127.0.0.1 - - [26/Oct/2021 16:50:24] "[36mGET /static/styles/index.css HTTP/1.1[0m" 304 -
2021-10-26 17:11:52,174 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-26 17:11:52,284 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 61804
2021-10-26 17:11:52,321 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-26 17:11:52,459 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 61804
2021-10-27 13:30:54,469 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 13:30:54,633 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 52724
2021-10-27 13:30:54,678 , connectionpool.py , urllib3.connectionpool ,  DEBUG , Starting new HTTPS connection (1): gaana.com:443
2021-10-27 13:30:54,762 , connectionpool.py , urllib3.connectionpool ,  DEBUG , https://gaana.com:443 "GET /songs HTTP/1.1" 200 52724
2021-10-27 13:30:55,396 , _internal.py , werkzeug ,  INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 13:30:55,396 , _internal.py , werkzeug , INFO ,  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2021-10-27 13:31:00,465 , _internal.py , werkzeug ,  INFO , 127.0.0.1 - - [27/Oct/2021 13:31:00] "GET / HTTP/1.1" 200 -
